Region,Period Begin,Period End,Avg Sale To List,Homes Sold,Inventory,Median Dom,Median List Price,months_of_supply,New Listings,Period Duration,Price Drops,Sold Above List
"San Diego, CA",2/1/2016,2/29/2016,0.97648154,992,2462,32,549000,2.5,1608,30,0.204711617,0.175403226
"San Diego, CA",7/1/2014,7/31/2014,0.977421657,1465,3919,23,488488,2.7,1903,30,0.307731564,0.17337884
"Washington, DC",4/1/2015,4/30/2015,1.004990167,781,1440,15,549000,1.8,1191,30,0.221527778,0.404609475
"Washington, DC",6/1/2015,6/30/2015,1.005581485,926,1496,13,515000,1.6,1007,30,0.254010695,0.390928726
"San Diego, CA",10/1/2017,10/31/2017,0.986295056,1347,2217,22,585000,1.6,1342,30,0.276950834,0.262063846
"San Jose, CA",3/1/2017,3/31/2017,1.040099104,698,779,14,849000,1.1,933,30,0.148908858,0.719197708
"Washington, DC",9/1/2016,9/30/2016,0.9928688,775,1624,23,574555,2.1,1143,30,0.23091133,0.293281654
"San Jose, CA",8/1/2017,8/31/2017,1.054055437,876,571,15,844000,0.7,746,30,0.168126095,0.779680365
"San Francisco, CA",10/1/2012,10/31/2012,1.044269822,572,895,15,799000,1.6,637,30,0.186592179,0.631118881
"Washington, DC",12/1/2013,12/31/2013,0.993565731,706,1294,23,427600,1.8,434,30,0.193972179,0.297297297
"Washington, DC",9/1/2015,9/30/2015,0.998262156,533,1698,23,539000,3.2,1131,30,0.252650177,0.333958724
"Seattle, WA",11/1/2017,11/30/2017,1.028443776,998,639,9,647000,0.6,706,30,0.3114241,0.502004008
"Los Angeles, CA",7/1/2016,7/31/2016,0.999067026,2640,7418,29,619000,2.8,3557,30,0.214073874,0.411742424
"Los Angeles, CA",1/1/2016,1/31/2016,0.988324305,1817,5676,38,605000,3.1,2798,30,0.157681466,0.322687225
"Chicago, IL",4/1/2018,4/30/2018,0.984919666,2746,9876,55,324900,3.6,4168,30,0.206156339,0.246176256
"San Diego, CA",12/1/2017,12/31/2017,0.984651053,1145,1589,24,550000,1.4,717,30,0.174323474,0.256768559
"San Diego, CA",3/1/2016,3/31/2016,0.982291251,1385,2521,18,550000,1.8,1809,30,0.231654106,0.23465704
"Seattle, WA",1/1/2014,1/31/2014,0.990524075,550,1261,35,399950,2.3,821,30,0.249801745,0.276363636
"Los Angeles, CA",9/1/2017,9/30/2017,1.00142676,2451,7043,40,699000,2.9,3000,30,0.178617067,0.432884537
National,8/1/2015,8/31/2015,0.980568861,247787,899256,48,257400,3.6,290027,30,0.237566388,0.201804045
"Chicago, IL",12/1/2013,12/31/2013,0.984770275,2493,9810,67,174900,3.9,1985,30,0.152905199,0.285198556
"Boston, MA",10/1/2013,10/31/2013,0.994154078,492,2022,63,439000,4.1,684,30,0.173590504,0.32586558
"San Francisco, CA",2/1/2014,2/28/2014,1.077908795,400,486,14,899000,1.2,528,30,0.08436214,0.7175
"San Jose, CA",3/1/2014,3/31/2014,1.039878359,660,801,12,652525,1.2,904,30,0.154806492,0.681818182
"Washington, DC",3/1/2016,3/31/2016,0.996374157,691,1516,24,550000,2.2,1232,30,0.215039578,0.347826087
"Washington, DC",11/1/2014,11/30/2014,0.993435102,631,1435,20,482425,2.3,544,30,0.252961672,0.283676704
"San Jose, CA",10/1/2017,10/31/2017,1.076085632,727,455,11,899988,0.6,621,30,0.112087912,0.819807428
National,4/1/2016,4/30/2016,0.981174291,236865,830302,50,289300,3.5,350218,30,0.222020421,0.228157604
National,1/1/2012,1/31/2012,0.95876731,125436,773697,88,198800,6.2,190991,30,0.113114049,0.181106447
"San Jose, CA",1/1/2012,1/31/2012,0.990848559,635,1519,40,426500,2.4,885,30,0.243581303,0.333858268
"Washington, DC",4/1/2016,4/30/2016,1.000440971,800,1548,17,599000,1.9,1173,30,0.279715762,0.3675
"San Jose, CA",11/1/2013,11/30/2013,1.012096324,667,841,19,599000,1.3,529,30,0.186682521,0.539730135
"San Jose, CA",4/1/2017,4/30/2017,1.046716858,769,845,14,825000,1.1,876,30,0.170414201,0.752925878
